geo,org_area,uaa,organic_share
AT,671703,2652220,25.33
BE,93119,1358700,6.85
BG,117779,5037470,2.34
CH,169030,1512100,11.18
CY,6240,125350,4.98
CZ,535185,3523660,15.19
DE,1290839,16666000,7.75
DK,291247,2626000,11.09
EE,220737,988410,22.33
ES,2354916,24371660,9.66
FI,306484,2273800,13.48
FR,2240797,29024180,7.72
GB,459275,17529000,2.62
GR,528752,5153380,10.26
HR,108127,1504450,7.19
HU,303190,5309520,5.71
IE,73952,4524150,1.63
IS,5740,1555100,0.37
IT,1993225,13150200,15.16
LT,242118,2974990,8.14
LU,5814,131590,4.42
LV,289796,1959400,14.79
MK,3711,1264580,0.29
MT,55,11580,0.47
NL,68068,1816320,3.75
NO,45312,981820,4.62
PL,507637,14550350,3.49
RO,395228,13825610,2.86
RS,21266,3481570,0.61
SE,613964,3004780,20.43
SI,49638,479820,10.35
SK,197565,1915730,10.31
TR,551718,37712000,1.46
